Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,416614051,5344.946998945933,14021504,179.8887856653407,2023138,5844097,74.97680082254098,67631,0.8676714326318117,10994,
United States of America,Americas,77413180,23387.48,964325,291.335,111750,918560,277.508,14853,4.487,2938
India,South-East Asia,42754315,3098.129,276255,20.018,30757,510413,36.986,3893,0.282,541
Brazil,Americas,27659052,13012.386,882432,415.146,120549,639689,300.946,5879,2.766,854
France,Europe,21344186,32817.338,730378,1122.978,98697,132883,204.312,1915,2.944,276
The United Kingdom,Europe,18447710,27174.541,352145,518.73,53755,160038,235.745,1086,1.6,199
Russian Federation,Europe,14840502,10169.292,1312657,899.484,180622,343173,235.156,5082,3.482,790
Turkey,Europe,13172968,15619.058,619185,734.162,94176,91388,108.358,1911,2.266,271
Germany,Europe,13035941,15674.47,1266401,1522.726,235626,120728,145.164,1275,1.533,261
Italy,Europe,12265343,20565.119,417907,700.698,59869,151962,254.792,2066,3.464,278
Spain,Europe,10744394,22699.769,177980,376.02,16289,97350,205.672,668,1.411,32
Argentina,Americas,8783208,19433.693,135133,298.995,17034,124765,276.055,1538,3.403,180
Iran (Islamic Republic of),Eastern Mediterranean,6876565,8187.074,179638,213.873,16310,134238,159.821,1074,1.279,185
Colombia,Americas,6026988,11844.822,41472,81.505,3731,137439,270.108,1242,2.441,138
Netherlands,Europe,5906860,33932.679,470222,2701.248,63779,21432,123.119,89,0.511,18
Poland,Europe,5495315,14477.304,182901,481.849,29221,109205,287.699,1739,4.581,318
Mexico,Americas,5321744,4127.535,49148,38.119,21207,313608,243.234,1432,1.111,643
Indonesia,South-East Asia,5030002,1838.964,362448,132.511,63956,145828,53.315,970,0.355,206
Ukraine,Europe,4637260,10603.388,215519,492.798,33330,103824,237.4,1657,3.789,259
Japan,Western Pacific,4146197,3278.236,580009,458.59,90522,20954,16.568,1212,0.958,253
South Africa,Africa,3648968,6152.501,17326,29.213,3699,97520,164.428,1018,1.716,89
Philippines,Western Pacific,3644597,3325.936,21597,19.709,2671,55223,50.395,533,0.486,77
Israel,Europe,3500438,40441.585,165310,1909.875,21152,9710,112.182,240,2.773,11
Belgium,Europe,3473015,30141.316,60816,527.805,16,29832,258.903,264,2.291,7
Czechia,Europe,3468364,32432.988,127625,1193.433,16986,38050,355.809,341,3.189,26
Peru,Americas,3456789,10484.06,72243,219.105,7077,208622,632.728,1310,3.973,156
Canada,Americas,3209168,8502.875,60290,159.742,6034,35679,94.534,710,1.881,99
Portugal,Europe,3131899,30418.868,134129,1302.741,20041,20666,200.72,312,3.03,46
Malaysia,Western Pacific,3111514,9613.527,155182,479.46,27831,32201,99.49,136,0.42,21
Chile,Americas,2709854,14175.693,243756,1275.128,32162,40735,213.092,624,3.264,37
Thailand,South-East Asia,2656411,3805.748,110538,158.364,17349,22538,32.289,174,0.249,22
Switzerland,Europe,2617135,30239.752,104271,1204.802,100,12529,144.767,53,0.612,0
Romania,Europe,2613716,13522.365,131322,679.41,17447,62063,321.09,971,5.024,183
Australia,Western Pacific,2609599,10233.768,176321,691.458,29204,4732,18.557,366,1.435,63
Viet Nam,Western Pacific,2606824,2678.1,202173,207.701,34737,39188,40.259,574,0.59,66
Denmark,Europe,2442799,41952.575,299990,5152.021,42948,4163,71.495,215,3.692,24
Sweden,Europe,2414463,23378.767,40401,391.195,4735,16716,161.858,100,0.968,1
Austria,Europe,2377618,26711.616,213479,2398.354,40329,13933,156.532,160,1.798,31
Iraq,Eastern Mediterranean,2284205,5678.924,20680,51.414,2639,24792,61.637,192,0.477,28
Greece,Europe,2235920,20860.255,125921,1174.793,19509,25001,233.25,591,5.514,84
Bangladesh,South-East Asia,1926570,1169.82,32035,19.452,3539,28907,17.552,163,0.099,20
Serbia,Europe,1861413,26872.994,55327,798.749,6239,14611,210.937,440,6.352,58
Hungary,Europe,1738944,17799.676,54512,557.98,8578,42966,439.796,697,7.134,115
Republic of Korea,Western Pacific,1645978,3210.463,460617,898.429,93135,7238,14.118,275,0.536,36
Jordan,Eastern Mediterranean,1526272,14958.855,129842,1272.57,17322,13585,133.145,176,1.725,31
Georgia,Europe,1511800,37897.56,113741,2851.241,15644,15729,394.292,325,8.147,46
Pakistan,Eastern Mediterranean,1491423,675.181,21262,9.626,2465,29877,13.526,276,0.125,49
Kazakhstan,Europe,1382966,7365.328,12500,66.572,1408,18836,100.316,120,0.639,29
Slovakia,Europe,1306967,23946.453,119965,2198.017,18443,18179,333.078,139,2.547,34
Ireland,Europe,1255303,25285.893,37124,747.798,5268,6399,128.897,108,2.175,9
Morocco,Eastern Mediterranean,1157001,3134.607,5920,16.039,645,15833,42.896,135,0.366,13
Norway,Europe,1068683,19909.959,106800,1989.723,4901,1548,28.84,36,0.671,18
Cuba,Americas,1062748,9382.749,6821,60.221,594,8477,74.841,27,0.238,1
Bulgaria,Europe,1054566,15170.377,35715,513.775,5023,34779,500.311,627,9.02,93
Lebanon,Eastern Mediterranean,1029998,15090.562,36903,540.668,6063,9890,144.899,121,1.773,18
Croatia,Europe,1027572,25321.1,29109,717.295,5795,14632,360.557,351,8.649,48
Nepal,South-East Asia,974857,3345.792,3382,11.607,364,11911,40.88,47,0.161,6
Tunisia,Eastern Mediterranean,974214,8243.044,19488,164.892,2754,27295,230.949,406,3.435,62
Mongolia,Western Pacific,893721,27261.804,20783,633.959,2454,2080,63.448,18,0.549,3
Bolivia (Plurinational State of),Americas,886108,7591.077,8969,76.835,0,21331,182.738,132,1.131,0
United Arab Emirates,Eastern Mediterranean,871315,8809.703,8801,88.985,957,2289,23.144,16,0.162,1
Slovenia,Europe,863461,41198.391,46866,2236.122,4716,6646,317.101,37,1.765,4
Belarus,Europe,851636,9012.669,54448,576.211,7919,6295,66.619,105,1.111,17
Lithuania,Europe,842277,30144.949,54725,1958.598,6874,8210,293.834,164,5.87,10
Ecuador,Americas,800320,4536.176,22721,128.782,0,35038,198.594,234,1.326,0
Uruguay,Americas,788676,22704.01,47222,1359.403,6120,6794,195.582,118,3.397,16
Costa Rica,Americas,771027,15135.633,31183,612.137,4507,7829,153.687,117,2.297,23
Azerbaijan,Europe,759753,7493.243,41608,410.369,7148,9127,90.017,179,1.765,22
Panama,Americas,745367,17274.791,13160,304.999,1714,7970,184.714,84,1.947,10
Guatemala,Americas,740011,4130.547,23929,133.565,4054,16661,92.997,134,0.748,18
Saudi Arabia,Eastern Mediterranean,734389,2109.472,15253,43.813,1793,8977,25.786,15,0.043,2
Sri Lanka,South-East Asia,633051,2956.352,8506,39.723,1235,15926,74.375,203,0.948,27
Paraguay,Americas,628574,8812.768,15681,219.852,2219,18027,252.743,323,4.529,63
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,625028,12252.054,24900,488.1,2853,5339,104.657,124,2.431,19
Kuwait,Eastern Mediterranean,607952,14235.848,17387,407.135,1917,2524,59.102,10,0.234,2
Finland,Europe,600718,10872.149,31047,561.907,2047,2265,40.993,1,0.018,0
Dominican Republic,Americas,570636,5260.331,4774,44.008,400,4351,40.109,15,0.138,2
Myanmar,South-East Asia,556256,1022.345,14352,26.378,2692,19319,35.506,9,0.017,1
Latvia,Europe,545296,28584.324,68566,3594.218,11425,5061,265.297,83,4.351,20
Singapore,Western Pacific,514880,8800.853,85926,1468.735,16883,926,15.828,45,0.769,13
Venezuela (Bolivarian Republic of),Americas,508042,1786.619,8505,29.909,1065,5564,19.567,60,0.211,8
Republic of Moldova,Europe,490751,12165.481,13332,330.494,1852,11041,273.701,175,4.338,32
Libya,Eastern Mediterranean,478488,6963.581,18940,275.64,2884,6156,89.59,60,0.873,13
Bahrain,Eastern Mediterranean,477750,28076.929,35925,2111.279,4288,1432,84.157,14,0.823,3
Puerto Rico,Americas,469745,16419.753,3936,137.581,138,4055,141.741,71,2.482,8
Ethiopia,Africa,467860,406.964,859,0.747,169,7429,6.462,32,0.028,1
Egypt,Eastern Mediterranean,461299,450.776,14991,14.649,2101,23519,22.982,409,0.4,54
Estonia,Europe,441941,33254.25,36840,2772.059,6493,2148,161.628,53,3.988,9
Armenia,Europe,411878,13899.611,12151,410.059,1723,8253,278.513,139,4.691,24
Honduras,Americas,404764,4086.624,2435,24.585,0,10608,107.102,49,0.495,0
Oman,Eastern Mediterranean,370620,7257.63,11364,222.534,1430,4221,82.657,31,0.607,5
Bosnia and Herzegovina,Europe,366450,11169.481,6574,200.377,861,15162,462.141,265,8.077,35
Qatar,Eastern Mediterranean,352447,12233.27,4306,149.459,498,658,22.839,5,0.174,0
Kenya,Africa,322545,599.846,271,0.504,28,5633,10.476,11,0.02,1
Zambia,Africa,310155,1687.096,2105,11.45,285,3939,21.426,5,0.027,0
Cyprus,Europe,298235,33584.833,17592,1981.07,2549,798,89.864,23,2.59,7
North Macedonia,Europe,289797,13909.944,7703,369.736,1091,8829,423.783,139,6.672,23
Réunion,Africa,278494,31105.804,21707,2424.518,0,603,67.351,38,4.244,0
Albania,Europe,269301,9357.878,2885,100.25,361,3430,119.188,31,1.077,7
Algeria,Africa,262994,599.744,3321,7.573,424,6762,15.42,84,0.192,9
Botswana,Africa,260491,11077.054,3324,141.349,0,2603,110.689,10,0.425,0
Nigeria,Africa,254137,123.284,262,0.127,13,3141,1.524,2,0.001,0
Uzbekistan,Europe,234600,700.943,2729,8.154,241,1612,4.816,17,0.051,3
Zimbabwe,Africa,232213,1562.364,1333,8.969,350,5379,36.191,12,0.081,1
Montenegro,Europe,227468,36217.444,2649,421.774,417,2641,420.5,28,4.458,3
Mozambique,Africa,224791,719.206,297,0.95,24,2189,7.004,3,0.01,0
Kosovo[1],Europe,224026,12475.928,3860,214.962,508,3071,171.023,23,1.281,3
Kyrgyzstan,Europe,200214,3068.794,393,6.024,39,2937,45.017,20,0.307,2
Luxembourg,Europe,176177,28138.436,4725,754.662,769,979,156.363,13,2.076,0
Afghanistan,Eastern Mediterranean,171519,440.602,2969,7.627,97,7513,19.3,48,0.123,9
Uganda,Africa,162932,356.206,373,0.815,0,3582,7.831,10,0.022,0
Maldives,South-East Asia,162169,30001.073,6252,1156.613,0,290,53.65,3,0.555,1
Ghana,Africa,158159,508.993,408,1.313,121,1431,4.605,12,0.039,0
China,Western Pacific,158054,10.743,14211,0.966,4444,5715,0.388,13,0.001,3
Namibia,Africa,156843,6172.722,361,14.208,0,3995,157.227,13,0.512,0
El Salvador,Americas,147786,2278.466,12677,195.446,0,4019,61.962,52,0.802,8
Lao People's Democratic Republic,Western Pacific,140030,1924.663,2473,33.991,345,602,8.274,19,0.261,1
Rwanda,Africa,129337,998.57,127,0.981,11,1452,11.21,3,0.023,0
Jamaica,Americas,127294,4298.778,857,28.941,61,2755,93.038,49,1.655,5
Cambodia,Western Pacific,124343,743.724,2137,12.782,204,3015,18.033,0,0,0
Trinidad and Tobago,Americas,121271,8665.383,4502,321.689,376,3535,252.592,49,3.501,4
Cameroon,Africa,118675,447.056,999,3.763,0,1915,7.214,8,0.03,0
Guadeloupe,Americas,118177,29535.094,0,0,0,889,222.181,0,0,0
Martinique,Americas,107144,28551.557,4398,1171.972,0,859,228.905,3,0.799,0
Iceland,Europe,99764,27397.606,16095,4420.076,3141,58,15.928,6,1.648,0
Angola,Africa,98568,299.906,115,0.35,36,1899,5.778,3,0.009,1
Democratic Republic of the Congo,Africa,85834,95.838,91,0.102,12,1316,1.469,0,0,0
Senegal,Africa,85469,510.448,187,1.117,15,1957,11.688,1,0.006,0
Malawi,Africa,85106,444.883,191,0.998,41,2599,13.586,19,0.099,0
Côte d’Ivoire,Africa,81253,308.03,248,0.94,16,791,2.999,4,0.015,0
French Guiana,Americas,77387,25909.496,494,165.393,38,385,128.9,2,0.67,0
Suriname,Americas,77334,13182.711,1095,186.659,131,1303,222.115,15,2.557,0
Mauritius,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Malta,Europe,70325,13666.91,795,154.5,117,594,115.438,22,4.275,1
Eswatini,Africa,68900,5938.816,198,17.067,42,1386,119.466,5,0.431,2
Fiji,Western Pacific,63543,7088.332,145,16.175,28,823,91.807,7,0.781,3
Madagascar,Africa,62844,226.947,1410,5.092,0,1335,4.821,28,0.101,0
Guyana,Americas,62360,7928.274,626,79.588,95,1199,152.437,14,1.78,3
Sudan,Eastern Mediterranean,59939,136.693,414,0.944,0,3821,8.714,57,0.13,0
Mauritania,Africa,58584,1259.964,57,1.226,7,973,20.926,2,0.043,0
French Polynesia,Western Pacific,58260,20739.886,6537,2327.096,0,637,226.765,1,0.356,0
Cabo Verde,Africa,55856,10046.278,45,8.094,10,400,71.944,2,0.36,0
Belize,Americas,55653,13996.248,1137,285.946,135,632,158.943,1,0.251,0
Syrian Arab Republic,Eastern Mediterranean,53148,303.691,905,5.171,137,3038,17.359,21,0.12,3
Barbados,Americas,52310,18202.697,2938,1022.358,0,302,105.089,14,4.872,0
Gabon,Africa,47446,2131.701,47,2.112,0,302,13.569,0,0,0
New Caledonia,Western Pacific,41817,14647.038,8786,3077.43,1337,284,99.475,0,0,0
Papua New Guinea,Western Pacific,39247,438.66,1025,11.456,212,628,7.019,18,0.201,0
Seychelles,Africa,38916,39570.094,623,633.471,87,151,153.538,1,1.017,0
Curaçao,Americas,38465,23440.976,499,304.096,71,260,158.447,13,7.922,2
Burundi,Africa,37947,319.13,131,1.102,0,15,0.126,0,0,0
Andorra,Europe,37452,48472.141,463,599.236,91,150,194.137,2,2.588,0
Togo,Africa,36704,443.353,92,1.111,11,271,3.273,1,0.012,0
Mayotte,Africa,36572,13405.421,16,5.865,0,187,68.545,0,0,0
Guinea,Africa,36329,276.628,32,0.244,0,436,3.32,4,0.03,0
Jersey,Europe,35072,32535.53,1627,1509.332,287,108,100.189,2,1.855,0
Guam,Western Pacific,34761,20596.06,2594,1536.957,0,315,186.639,12,7.11,7
United Republic of Tanzania,Africa,33549,56.164,113,0.189,0,796,1.333,4,0.007,0
Aruba,Americas,33531,31406.066,154,144.241,18,198,185.452,2,1.873,0
Bahamas,Americas,32972,8384.616,170,43.23,0,766,194.79,13,3.306,0
Lesotho,Africa,32434,1514.016,84,3.921,0,696,32.489,1,0.047,0
Faroe Islands,Europe,30571,62562.161,4283,8764.965,561,24,49.115,2,4.093,0
Mali,Africa,30304,149.643,76,0.375,38,717,3.541,2,0.01,1
Haiti,Americas,30055,263.582,148,1.298,0,809,7.095,2,0.018,0
Benin,Africa,26567,219.142,69,0.569,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26260,165.228,57,0.359,57,1345,8.463,5,0.031,5
Brunei Darussalam,Western Pacific,25584,5848.052,6739,1540.417,925,59,13.486,0,0,0
New Zealand,Western Pacific,24660,511.381,6202,128.613,1588,53,1.099,0,0,0
Congo,Africa,23874,432.65,14,0.254,0,375,6.796,0,0,0
Saint Lucia,Americas,22269,12127.302,501,272.836,92,353,192.238,11,5.99,4
Isle of Man,Europe,22182,26086.65,231,271.662,39,77,90.554,4,4.704,0
Timor-Leste,South-East Asia,22047,1672.197,889,67.428,0,124,9.405,2,0.152,0
Burkina Faso,Africa,20729,99.166,33,0.158,4,375,1.794,0,0,0
Tajikistan,Europe,17783,186.451,24,0.252,0,125,1.311,0,0,0
Cayman Islands,Americas,17687,26912.66,1753,2667.377,0,16,24.346,0,0,0
South Sudan,Africa,16903,151.004,30,0.268,0,137,1.224,0,0,0
Equatorial Guinea,Africa,15869,1131.088,24,1.711,0,182,12.972,0,0,0
Djibouti,Eastern Mediterranean,15535,1572.368,8,0.81,0,189,19.13,0,0,0
United States Virgin Islands,Americas,15229,14583.672,101,96.72,21,107,102.466,3,2.873,1
Gibraltar,Europe,14706,43649.639,667,1979.757,138,101,299.783,0,0,0
Central African Republic,Africa,14187,293.741,77,1.594,0,113,2.34,3,0.062,0
San Marino,Europe,14086,41505.098,224,660.027,0,110,324.12,0,0,0
Nicaragua,Americas,13877,209.478,85,1.283,0,223,3.366,1,0.015,0
Grenada,Americas,13413,11920.23,372,330.599,40,214,190.183,2,1.777,0
Guernsey,Europe,12865,19955.637,659,1022.213,68,31,48.086,0,0,0
Gambia,Africa,11924,493.407,13,0.538,0,365,15.103,0,0,0
Yemen,Eastern Mediterranean,11707,39.251,103,0.345,8,2113,7.084,20,0.067,3
Greenland,Europe,11547,20339.252,213,375.185,48,10,17.614,3,5.284,0
Bermuda,Americas,11246,18059.191,188,301.896,0,121,194.306,2,3.212,0
Liechtenstein,Europe,10958,28280.899,537,1385.914,0,72,185.821,1,2.581,0
Dominica,Americas,10728,14901.863,728,1011.238,59,55,76.398,4,5.556,1
Saint Martin,Americas,9732,25173.957,0,0,0,44,113.816,0,0,0
Eritrea,Africa,9680,272.951,28,0.79,1,103,2.904,1,0.028,0
Sint Maarten,Americas,9505,22165.477,66,153.911,9,84,195.886,2,4.664,0
Monaco,Europe,9111,23216.288,189,481.602,26,50,127.408,1,2.548,0
Niger,Africa,8728,36.056,28,0.116,4,303,1.252,0,0,0
Bhutan,South-East Asia,8683,1125.312,1904,246.757,386,5,0.648,0,0,0
